userid,bookid,issue_date,due_date,return_date
2015EEZ8068,789253,01/17/2020,01/31/2020,02/26/2020
2015EEZ8068,7546,02/10/2020,02/24/2020,02/13/2020
2015EEZ8068,664147,02/10/2020,02/24/2020,03/01/2020
2015EEZ8089,669805,02/12/2020,02/26/2020,02/18/2020
2015EEZ8089,14760,01/26/2020,02/09/2020,01/30/2020
2015EEZ8089,885457,01/11/2020,01/25/2020,02/09/2020
2015EEZ8089,563971,02/15/2020,02/29/2020,03/02/2020
2015EEZ8093,603730,01/28/2020,02/11/2020,02/11/2020
2015EEZ8093,391872,01/31/2020,02/14/2020,02/11/2020
2015EEZ8093,57571,02/07/2020,02/21/2020,02/20/2020
2015EEZ8093,515537,02/12/2020,02/26/2020,02/25/2020
2015EEZ8108,69535,01/17/2020,01/31/2020,02/10/2020
2015EEZ8108,864411,02/25/2020,03/10/2020,02/29/2020
2015EEZ8108,764758,01/25/2020,02/08/2020,01/27/2020
2015EEZ8108,162050,02/24/2020,03/09/2020,02/27/2020
2015EEZ8108,300174,02/12/2020,02/26/2020,02/22/2020
2015MT60551,256171,02/15/2020,02/29/2020,02/15/2020
2015MT60551,867165,02/14/2020,02/28/2020,02/14/2020
2015MT60552,765042,01/14/2020,01/28/2020,02/22/2020
2015MT60552,515264,01/20/2020,02/03/2020,02/20/2020
2015MT60552,549584,02/16/2020,03/01/2020,02/25/2020
2015MT60552,699012,02/10/2020,02/24/2020,02/26/2020
2015MT60552,679545,02/26/2020,03/11/2020,02/26/2020
2015MT60553,49315,02/01/2020,02/15/2020,02/24/2020
2015MT60553,231496,02/22/2020,03/07/2020,02/28/2020
2015MT60553,417171,01/14/2020,01/28/2020,02/13/2020
2015MT60553,139562,02/26/2020,03/11/2020,02/29/2020
2015MT60553,654725,02/16/2020,03/01/2020,02/26/2020
2015MT60554,361817,02/17/2020,03/02/2020,03/01/2020
2015MT60554,313709,01/27/2020,02/10/2020,02/03/2020
2015MT60554,402862,01/11/2020,01/25/2020,02/15/2020
2015MT60554,90749,02/09/2020,02/23/2020,02/24/2020
2015MT60554,762268,02/08/2020,02/22/2020,02/24/2020
2015MT60555,87331,02/07/2020,02/21/2020,02/12/2020
2015MT60555,601116,02/17/2020,03/02/2020,02/24/2020
2015MT60555,763046,01/15/2020,01/29/2020,02/18/2020
2015MT60555,836843,01/23/2020,02/06/2020,02/07/2020
2015MT60556,442685,01/22/2020,02/05/2020,02/06/2020
2015MT60556,757831,02/10/2020,02/24/2020,02/25/2020
2015MT60556,822694,01/27/2020,02/10/2020,02/07/2020
2015MT60556,602719,01/04/2020,01/18/2020,03/01/2020
2015MT60557,185255,01/28/2020,02/11/2020,02/16/2020
2015MT60557,934084,01/12/2020,01/26/2020,01/24/2020
2015MT60557,452970,01/20/2020,02/03/2020,02/20/2020
2015MT60557,200476,01/24/2020,02/07/2020,01/29/2020
2015MT60557,218895,01/23/2020,02/06/2020,02/03/2020
2015MT60558,424961,02/25/2020,03/10/2020,02/25/2020
2015MT60558,451877,01/09/2020,01/23/2020,02/22/2020
2015MT60559,819208,01/09/2020,01/23/2020,02/05/2020
2015MT60559,195519,02/14/2020,02/28/2020,02/27/2020
2015MT60559,51662,02/22/2020,03/07/2020,03/02/2020
2015MT60561,716543,02/10/2020,02/24/2020,02/26/2020
2015MT60561,46657,02/21/2020,03/06/2020,02/24/2020
2015MT60561,372546,02/04/2020,02/18/2020,02/05/2020
2015MT60561,397536,02/07/2020,02/21/2020,02/21/2020
2015MT60561,595231,02/23/2020,03/08/2020,02/23/2020
2015MT60562,107123,01/23/2020,02/06/2020,02/05/2020
2015MT60562,464878,01/18/2020,02/01/2020,02/03/2020
2015MT60562,798541,01/09/2020,01/23/2020,01/21/2020
2015MT60562,358806,02/19/2020,03/04/2020,02/23/2020
2015MT60562,609573,01/25/2020,02/08/2020,02/02/2020
2015MT60563,907862,02/04/2020,02/18/2020,02/05/2020
2015MT60563,235918,01/09/2020,01/23/2020,01/30/2020
2015MT60563,225621,01/08/2020,01/22/2020,01/11/2020
2015MT60563,908825,02/22/2020,03/07/2020,03/01/2020
2015MT60564,820186,02/17/2020,03/02/2020,02/17/2020
2015MT60564,279322,01/11/2020,01/25/2020,02/15/2020
2015MT60564,525793,02/05/2020,02/19/2020,02/11/2020
2015MT60565,709710,01/28/2020,02/11/2020,02/26/2020
2015MT60565,263430,01/09/2020,01/23/2020,03/01/2020
2015MT60566,855907,02/20/2020,03/05/2020,02/23/2020
2015MT60566,342600,02/05/2020,02/19/2020,02/28/2020
2015MT60567,440019,02/11/2020,02/25/2020,02/26/2020
2015MT60567,223797,02/24/2020,03/09/2020,02/29/2020
2015MT60567,856556,01/14/2020,01/28/2020,01/16/2020
2015MT60567,917819,02/07/2020,02/21/2020,02/24/2020
2015MT60567,594809,02/05/2020,02/19/2020,02/18/2020
2015MT60568,891084,01/06/2020,01/20/2020,02/25/2020
2015MT60568,182267,02/04/2020,02/18/2020,02/26/2020
2015MT60569,312391,02/17/2020,03/02/2020,02/25/2020
2015MT60569,586595,01/18/2020,02/01/2020,01/25/2020
2015MT60569,232628,01/27/2020,02/10/2020,03/03/2020
2015MT60570,146096,01/30/2020,02/13/2020,02/06/2020
2015MT60570,325283,01/23/2020,02/06/2020,02/15/2020
2015RDZ8455,359579,02/10/2020,02/24/2020,02/18/2020
2015RDZ8455,246104,02/19/2020,03/04/2020,02/20/2020
2015RDZ8455,96259,02/05/2020,02/19/2020,02/15/2020
2015RDZ8455,850675,02/20/2020,03/05/2020,02/26/2020
2016BB10022,959922,02/19/2020,03/04/2020,02/27/2020
2016BB10022,69893,02/02/2020,02/16/2020,02/14/2020
2016BB10022,422410,01/26/2020,02/09/2020,02/27/2020
2016BB10023,503147,01/11/2020,01/25/2020,02/17/2020
2016BB10023,862474,02/04/2020,02/18/2020,02/07/2020
2016BB10023,676374,02/04/2020,02/18/2020,02/04/2020
2016BB10023,814948,02/22/2020,03/07/2020,03/01/2020
2016BB10023,945969,02/13/2020,02/27/2020,02/18/2020
2016BB10024,838990,02/01/2020,02/15/2020,02/22/2020
2016BB10024,467558,01/10/2020,01/24/2020,01/10/2020
2016BB10024,299967,01/13/2020,01/27/2020,02/13/2020
2016BB10024,171825,01/12/2020,01/26/2020,01/15/2020
2016BB10025,44306,02/24/2020,03/09/2020,03/01/2020
2016BB10025,905270,01/24/2020,02/07/2020,01/29/2020
2016BB10025,141826,02/11/2020,02/25/2020,02/14/2020
2016BB10025,343225,02/14/2020,02/28/2020,02/20/2020
2016BB10028,777278,01/13/2020,01/27/2020,02/05/2020
2016BB10028,144747,02/20/2020,03/05/2020,02/21/2020
2016BB10028,116617,01/10/2020,01/24/2020,01/22/2020
2016BB10028,963329,01/25/2020,02/08/2020,02/16/2020
2016BB10029,550617,02/09/2020,02/23/2020,02/26/2020
2016BB10029,523635,02/09/2020,02/23/2020,02/28/2020
2016BB10030,122558,02/22/2020,03/07/2020,02/27/2020
2016BB10030,276827,01/07/2020,01/21/2020,01/07/2020
2016BB10030,228189,02/07/2020,02/21/2020,02/22/2020
2016BB10030,702624,01/24/2020,02/07/2020,03/01/2020
2016BB10030,386977,02/09/2020,02/23/2020,02/22/2020
2016BB10031,422195,02/06/2020,02/20/2020,02/13/2020
2016BB10031,190300,02/06/2020,02/20/2020,02/21/2020
2016BB10031,84191,01/24/2020,02/07/2020,02/03/2020
2016BB10031,868576,01/31/2020,02/14/2020,02/10/2020
2016BB10033,20640,01/13/2020,01/27/2020,02/03/2020
2016BB10033,115861,02/01/2020,02/15/2020,03/02/2020
2016BB10033,553737,01/06/2020,01/20/2020,01/17/2020
2016BB10033,410592,01/09/2020,01/23/2020,02/01/2020
2016BB10034,392381,02/04/2020,02/18/2020,02/16/2020
2016BB10034,518168,01/10/2020,01/24/2020,01/12/2020
2016BB10034,397723,01/27/2020,02/10/2020,02/19/2020
2016BB10034,922727,01/05/2020,01/19/2020,02/09/2020
2016BB10037,230682,02/13/2020,02/27/2020,02/19/2020
2016BB10037,877781,01/04/2020,01/18/2020,01/05/2020
2016BB10038,535725,02/20/2020,03/05/2020,02/25/2020
2016BB10038,428623,01/16/2020,01/30/2020,01/24/2020
2016BB10038,403331,02/23/2020,03/08/2020,02/25/2020
2016BB10038,56130,01/24/2020,02/07/2020,02/13/2020
2016BB10038,901146,02/19/2020,03/04/2020,02/27/2020
2016BB10043,737539,01/03/2020,01/17/2020,01/19/2020
2016BB10043,869348,01/13/2020,01/27/2020,01/13/2020
2016CS10310,129827,01/29/2020,02/12/2020,02/07/2020
2016CS10310,748407,01/02/2020,01/16/2020,02/14/2020
2016CS10310,428019,02/24/2020,03/09/2020,03/03/2020
2016CS10310,6496,01/20/2020,02/03/2020,02/14/2020
2016CS10310,221490,01/02/2020,01/16/2020,02/29/2020
2016CS10311,776273,01/24/2020,02/07/2020,01/25/2020
2016CS10311,826790,02/12/2020,02/26/2020,02/26/2020
2016CS10311,524076,02/13/2020,02/27/2020,02/13/2020
2016CS10312,478633,02/16/2020,03/01/2020,03/03/2020
2016CS10312,116207,02/15/2020,02/29/2020,02/22/2020
2016CS10312,702410,01/08/2020,01/22/2020,01/26/2020
2016CS10314,778816,01/03/2020,01/17/2020,02/26/2020
2016CS10314,292749,01/04/2020,01/18/2020,01/09/2020
2016CS10314,608305,01/06/2020,01/20/2020,02/02/2020
2016CS10314,485512,01/25/2020,02/08/2020,02/10/2020
2016CS10315,281024,02/05/2020,02/19/2020,02/15/2020
2016CS10315,305203,02/13/2020,02/27/2020,02/29/2020
2016CS10315,118590,02/05/2020,02/19/2020,02/26/2020
2016CS10316,549169,01/16/2020,01/30/2020,01/23/2020
2016CS10316,203258,02/07/2020,02/21/2020,02/16/2020
2016CS10317,643524,01/27/2020,02/10/2020,02/13/2020
2016CS10317,736884,02/03/2020,02/17/2020,02/14/2020
2016CS10317,894253,01/24/2020,02/07/2020,02/10/2020
2016CS10318,515575,02/10/2020,02/24/2020,02/29/2020
2016CS10318,774613,01/03/2020,01/17/2020,02/20/2020
2016CS10318,796140,02/05/2020,02/19/2020,02/17/2020
2016CS10318,454661,01/03/2020,01/17/2020,02/15/2020
2016CS10318,200282,02/23/2020,03/08/2020,02/27/2020
2016CS10319,298188,02/12/2020,02/26/2020,03/02/2020
2016CS10319,548428,01/29/2020,02/12/2020,02/25/2020
2016CS10319,699737,01/11/2020,01/25/2020,02/04/2020
2016CS10319,18493,01/19/2020,02/02/2020,02/26/2020
2016CS10319,701007,02/14/2020,02/28/2020,02/17/2020
2016CS10320,389404,01/19/2020,02/02/2020,02/07/2020
2016CS10320,691375,02/13/2020,02/27/2020,02/20/2020
2016CS10320,369231,02/04/2020,02/18/2020,02/08/2020
2016CS10320,238898,01/07/2020,01/21/2020,01/14/2020
2016CS10321,887808,01/13/2020,01/27/2020,02/05/2020
2016CS10321,568231,01/07/2020,01/21/2020,02/03/2020
2016CS10321,827037,01/10/2020,01/24/2020,02/22/2020
2016CS10321,264214,02/05/2020,02/19/2020,03/02/2020
2016CS10321,871204,02/13/2020,02/27/2020,02/26/2020
2016CS10322,853718,01/28/2020,02/11/2020,02/07/2020
2016CS10322,616252,02/10/2020,02/24/2020,02/26/2020
2016CS10322,414641,01/14/2020,01/28/2020,02/03/2020
2016CS10322,81059,01/30/2020,02/13/2020,02/02/2020
2016CS10322,146096,02/12/2020,02/26/2020,02/24/2020
2016CS10323,414710,01/10/2020,01/24/2020,01/10/2020
2016CS10323,796264,01/25/2020,02/08/2020,02/19/2020
2016EE10040,437398,01/04/2020,01/18/2020,02/16/2020
2016EE10040,240065,01/02/2020,01/16/2020,02/01/2020
2016EE10040,197991,02/02/2020,02/16/2020,02/20/2020
2016EE10040,762534,01/19/2020,02/02/2020,02/01/2020
2016EE10040,13131,02/03/2020,02/17/2020,02/24/2020
2016EE10825,947944,01/29/2020,02/12/2020,02/26/2020
2016EE10825,696003,02/11/2020,02/25/2020,03/01/2020
2016ME10036,388873,01/16/2020,01/30/2020,02/16/2020
2016ME10036,335886,02/01/2020,02/15/2020,03/02/2020
2016ME10036,460541,01/09/2020,01/23/2020,01/29/2020
2016ME10830,375291,01/19/2020,02/02/2020,01/31/2020
2016ME10830,534330,01/02/2020,01/16/2020,01/18/2020
2016ME10830,770904,01/10/2020,01/24/2020,02/08/2020
2016ME10830,79148,01/01/2020,01/15/2020,01/15/2020
2016ME10830,609512,02/05/2020,02/19/2020,02/10/2020
2016MT10647,343554,02/15/2020,02/29/2020,03/03/2020
2016MT10647,954509,02/13/2020,02/27/2020,02/25/2020
2016MT10647,351250,01/01/2020,01/15/2020,01/09/2020
2016MT10647,734298,02/22/2020,03/07/2020,03/01/2020
2016MT10647,335182,02/24/2020,03/09/2020,02/25/2020
2016MT60645,531269,01/11/2020,01/25/2020,01/30/2020
2016MT60645,451279,01/26/2020,02/09/2020,02/26/2020
2016MT60645,72018,02/09/2020,02/23/2020,02/17/2020
2016MT60645,11419,01/01/2020,01/15/2020,01/01/2020
2016MT60646,799006,01/17/2020,01/31/2020,02/20/2020
2016MT60646,854116,01/16/2020,01/30/2020,02/29/2020
2016MT60646,186180,01/08/2020,01/22/2020,02/13/2020
2016MT60646,316051,02/09/2020,02/23/2020,02/14/2020
2016MT60646,865487,02/22/2020,03/07/2020,02/22/2020
2016MT60648,880260,01/24/2020,02/07/2020,02/27/2020
2016MT60648,966274,02/24/2020,03/09/2020,03/03/2020
2016MT60649,906448,01/05/2020,01/19/2020,01/15/2020
2016MT60649,200066,02/06/2020,02/20/2020,02/10/2020
2016MT60649,644841,02/15/2020,02/29/2020,02/27/2020
2016MT60649,49566,02/03/2020,02/17/2020,02/03/2020
2016MT60650,110437,01/31/2020,02/14/2020,02/04/2020
2016MT60650,144606,01/13/2020,01/27/2020,02/28/2020
2016MT60652,596645,02/22/2020,03/07/2020,02/24/2020
2016MT60652,478505,02/23/2020,03/08/2020,02/28/2020
2016MT60652,749474,01/24/2020,02/07/2020,01/31/2020
2016MT60653,461325,01/06/2020,01/20/2020,02/05/2020
2016MT60653,541348,02/19/2020,03/04/2020,02/22/2020
2016MT60655,787122,01/21/2020,02/04/2020,03/03/2020
2016MT60655,390993,01/21/2020,02/04/2020,02/15/2020
2016MT60655,227022,01/26/2020,02/09/2020,02/01/2020
2016MT60655,898753,01/01/2020,01/15/2020,01/06/2020
2016MT60656,328460,02/11/2020,02/25/2020,02/29/2020
2016MT60656,929121,02/21/2020,03/06/2020,02/26/2020
2016MT60656,32993,01/10/2020,01/24/2020,01/18/2020
2016MT60656,487134,02/03/2020,02/17/2020,02/11/2020
2016MT60657,541268,01/29/2020,02/12/2020,02/10/2020
2016MT60657,798131,02/12/2020,02/26/2020,02/13/2020
2016MT60657,862412,01/18/2020,02/01/2020,02/10/2020
2016MT60658,819458,02/04/2020,02/18/2020,02/09/2020
2016MT60658,561696,02/19/2020,03/04/2020,02/22/2020
2016MT60658,603015,02/14/2020,02/28/2020,02/20/2020
2016MT60658,661353,02/10/2020,02/24/2020,02/18/2020
2016MT60658,267324,02/18/2020,03/03/2020,02/22/2020
2016MT60659,359209,01/26/2020,02/09/2020,02/19/2020
2016MT60659,480511,01/09/2020,01/23/2020,01/24/2020
2016MT60660,692518,02/09/2020,02/23/2020,02/22/2020
2016MT60660,477060,02/03/2020,02/17/2020,03/01/2020
2016MT60660,581334,02/23/2020,03/08/2020,02/27/2020
2016MT60660,609110,02/18/2020,03/03/2020,02/19/2020
2016MT60661,567199,02/25/2020,03/10/2020,02/25/2020
2016MT60661,175948,01/09/2020,01/23/2020,02/21/2020
2016MT60661,134528,01/30/2020,02/13/2020,02/25/2020
2016MT60661,157538,02/22/2020,03/07/2020,02/22/2020
2016MT60662,397702,01/31/2020,02/14/2020,02/22/2020
2016MT60662,109777,01/16/2020,01/30/2020,01/27/2020
2016TT10822,684057,02/02/2020,02/16/2020,02/10/2020
2016TT10822,580268,01/02/2020,01/16/2020,02/06/2020
2016TT10822,775597,02/20/2020,03/05/2020,02/28/2020
2016TT10822,703663,01/01/2020,01/15/2020,01/04/2020
2016TT10822,715483,02/21/2020,03/06/2020,02/28/2020
2016TT10823,315273,01/21/2020,02/04/2020,02/22/2020
2016TT10823,345921,02/24/2020,03/09/2020,02/27/2020
2016TT10826,266253,01/07/2020,01/21/2020,01/18/2020
2016TT10826,647560,02/02/2020,02/16/2020,02/20/2020
2016TT10826,408104,01/28/2020,02/11/2020,02/17/2020
2016TT10826,483404,01/28/2020,02/11/2020,02/17/2020
2016TT10827,779995,02/19/2020,03/04/2020,03/03/2020
2016TT10827,256982,02/08/2020,02/22/2020,02/26/2020
2016TT10827,20237,02/16/2020,03/01/2020,02/23/2020
2016TT10831,189125,02/26/2020,03/11/2020,03/03/2020
2016TT10831,551268,02/13/2020,02/27/2020,02/27/2020
2016TT10832,429630,02/13/2020,02/27/2020,02/14/2020
2016TT10832,13084,01/19/2020,02/02/2020,02/13/2020
2016TT10832,543325,01/28/2020,02/11/2020,02/16/2020
2016TT10832,596394,02/21/2020,03/06/2020,02/22/2020
2016TT10832,264387,02/04/2020,02/18/2020,02/20/2020
2016TT10834,95643,02/22/2020,03/07/2020,02/25/2020
2016TT10834,135609,01/23/2020,02/06/2020,01/25/2020
2016TT10834,440559,01/25/2020,02/08/2020,01/28/2020
2017AMZ8117,623737,01/03/2020,01/17/2020,03/03/2020
2017AMZ8117,642302,01/10/2020,01/24/2020,01/17/2020
2017AMZ8117,151159,02/07/2020,02/21/2020,02/17/2020
2017AMZ8119,346409,01/05/2020,01/19/2020,02/17/2020
2017AMZ8119,202133,01/23/2020,02/06/2020,02/14/2020
2017AMZ8119,405885,02/08/2020,02/22/2020,02/15/2020
2017AMZ8119,435157,02/11/2020,02/25/2020,02/18/2020
2017AMZ8122,578075,02/02/2020,02/16/2020,02/28/2020
2017AMZ8122,350201,01/04/2020,01/18/2020,02/22/2020
2017AMZ8122,898871,02/04/2020,02/18/2020,02/12/2020
2017AMZ8122,563880,02/19/2020,03/04/2020,02/26/2020
2017AMZ8126,535785,01/25/2020,02/08/2020,02/08/2020
2017AMZ8126,219696,01/15/2020,01/29/2020,02/03/2020
2017AMZ8126,659768,01/18/2020,02/01/2020,02/07/2020
2017AMZ8126,15832,01/29/2020,02/12/2020,02/05/2020
2017AMZ8126,157447,02/15/2020,02/29/2020,02/19/2020
2017AMZ8547,314185,01/15/2020,01/29/2020,01/23/2020
2017AMZ8547,18121,02/21/2020,03/06/2020,02/21/2020
2017AMZ8549,265785,02/21/2020,03/06/2020,03/02/2020
2017AMZ8549,805494,02/06/2020,02/20/2020,02/23/2020
2017AMZ8552,480961,01/21/2020,02/04/2020,03/03/2020
2017AMZ8552,895335,01/23/2020,02/06/2020,02/24/2020
2017AMZ8552,243427,01/26/2020,02/09/2020,02/29/2020
2017AMZ8552,505798,02/21/2020,03/06/2020,03/03/2020
2017AMZ8552,928455,01/15/2020,01/29/2020,03/03/2020
2017CE10071,894916,01/03/2020,01/17/2020,01/24/2020
2017CE10071,451364,02/07/2020,02/21/2020,02/28/2020
2017CE10071,4650,01/03/2020,01/17/2020,02/25/2020
2017CE10071,364263,01/17/2020,01/31/2020,02/26/2020
2017CE10071,255816,02/05/2020,02/19/2020,02/24/2020
2017CE10072,376350,02/24/2020,03/09/2020,03/03/2020
2017CE10072,756462,01/18/2020,02/01/2020,01/27/2020
2017CE10072,466923,02/20/2020,03/05/2020,02/29/2020
2017CE10073,628023,02/03/2020,02/17/2020,02/28/2020
2017CE10073,937588,01/15/2020,01/29/2020,02/29/2020
2017CE10073,372459,02/09/2020,02/23/2020,02/13/2020
2017CE10074,943248,01/11/2020,01/25/2020,02/14/2020
2017CE10074,698753,02/23/2020,03/08/2020,02/29/2020
2017CE10074,734543,01/04/2020,01/18/2020,02/26/2020
2017CE10074,903504,02/11/2020,02/25/2020,02/22/2020
2017CE10076,287368,01/03/2020,01/17/2020,01/27/2020
2017CE10076,607284,02/07/2020,02/21/2020,02/28/2020
2017CE10076,285457,01/15/2020,01/29/2020,02/18/2020
2017CE10079,906998,02/14/2020,02/28/2020,02/17/2020
2017CE10079,104336,01/30/2020,02/13/2020,03/02/2020
2017CE10079,790508,01/18/2020,02/01/2020,02/04/2020
2017CE10080,590611,01/17/2020,01/31/2020,02/01/2020
2017CE10080,288524,02/10/2020,02/24/2020,02/19/2020
2017CE10080,857562,01/24/2020,02/07/2020,01/28/2020
2017CE10080,134698,02/15/2020,02/29/2020,02/20/2020
2017CE10081,896928,01/16/2020,01/30/2020,02/08/2020
2017CE10081,287356,01/30/2020,02/13/2020,02/16/2020
2017CE10081,698462,02/23/2020,03/08/2020,02/24/2020
2017CE10081,284716,02/11/2020,02/25/2020,02/20/2020
2017CE10081,382733,01/07/2020,01/21/2020,01/22/2020
2017CE10082,598729,02/22/2020,03/07/2020,03/02/2020
2017CE10082,598351,02/16/2020,03/01/2020,03/02/2020
2017CE10082,522678,02/13/2020,02/27/2020,02/13/2020
2017CE10083,212043,01/12/2020,01/26/2020,02/06/2020
2017CE10083,847315,01/26/2020,02/09/2020,02/16/2020
2017CE10083,776600,01/04/2020,01/18/2020,01/20/2020
2017CE10083,631463,01/21/2020,02/04/2020,02/20/2020
2017CE10083,942684,02/10/2020,02/24/2020,02/10/2020
2017CE10084,799066,02/20/2020,03/05/2020,03/01/2020
2017CE10084,127413,02/26/2020,03/11/2020,03/03/2020
2017CE10084,821834,01/24/2020,02/07/2020,02/03/2020
2017CE10084,217843,01/24/2020,02/07/2020,02/20/2020
2017CE10084,524492,02/08/2020,02/22/2020,02/15/2020
2017CE10085,774024,02/24/2020,03/09/2020,02/24/2020
2017CE10085,832291,01/17/2020,01/31/2020,02/19/2020
2017CE10085,266234,01/14/2020,01/28/2020,01/26/2020
2017CE10085,339610,01/28/2020,02/11/2020,02/06/2020
2017CEZ7518,427945,01/26/2020,02/09/2020,03/02/2020
2017CEZ7518,566776,01/14/2020,01/28/2020,02/09/2020
2017CEZ7518,700698,02/11/2020,02/25/2020,02/12/2020
2017CEZ7518,108122,02/07/2020,02/21/2020,02/14/2020
2017CEZ8077,848577,02/05/2020,02/19/2020,02/15/2020
2017CEZ8077,695335,01/25/2020,02/08/2020,02/22/2020
2017CEZ8077,89065,02/16/2020,03/01/2020,02/16/2020
2017CEZ8077,230383,01/22/2020,02/05/2020,01/24/2020
2017CEZ8077,735671,02/14/2020,02/28/2020,02/21/2020
2017CEZ8079,299243,01/31/2020,02/14/2020,02/23/2020
2017CEZ8079,754257,02/16/2020,03/01/2020,02/25/2020
2017CEZ8079,222476,01/16/2020,01/30/2020,01/25/2020
2017CEZ8079,455416,01/04/2020,01/18/2020,02/08/2020
2017CEZ8079,772829,02/19/2020,03/04/2020,02/27/2020
2017CEZ8081,407572,01/19/2020,02/02/2020,02/25/2020
2017CEZ8081,277401,02/08/2020,02/22/2020,02/26/2020
2017CEZ8082,532036,02/12/2020,02/26/2020,02/21/2020
